rev_id	comment	year	logged_in	ns	sample	split	is_toxic
2232.0	This:NEWLINE_TOKEN:One can make an analogy in mathematical terms by envisioning the distribution of opinions in a population as a Gaussian curve. We would then say that the consensus would be a statement that represents the range of opinions within perhaps three standard deviations of the mean opinion. NEWLINE_TOKENsounds arbitrary and ad hoc.  Does it really belong in n encyclopedia article?  I don't see that it adds anything useful.NEWLINE_TOKENNEWLINE_TOKENThe paragraph that follows seems much more useful.  Are there any political theorists out there who can clarify the issues?  It seems to me that this is an issue that Locke, Rousseau, de Toqueville, and others must have debated...  SRNEWLINE_TOKEN	2002	True	article	random	train	FALSE
4216.0	`NEWLINE_TOKENNEWLINE_TOKEN:Clarification for you  (and Zundark's right, i should have checked the Wikipedia bugs page first).   This is a ``bug`` in the code that makes wikipedia work  it just means that there is a line of code that may have an error as small as an extra space. It's analogous (in a VERY simplified way) to trying to make something bold in HTML and forgetting to put the  at the end, so you'd see something like this:NEWLINE_TOKENNEWLINE_TOKENwords in boldNEWLINE_TOKENNEWLINE_TOKENInstead of this:NEWLINE_TOKENNEWLINE_TOKENwords in bold NEWLINE_TOKENNEWLINE_TOKENIt's not like a virus, that is code somebody deliberately wrote in order to infect your computer and damage files, so it won't ``go around.`` JHKNEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKEN`	2002	True	user	random	train	FALSE
26547.0	`This is such a fun entry.   DevotchkaNEWLINE_TOKENNEWLINE_TOKENI once had a coworker from Korea and not only couldn't she tell the difference between USA-English and British English, she had trouble telling the difference between different European languages.  (Kind of keeps things in perspective, eh?) -)NEWLINE_TOKEN:Not suprising. While I can easily tell the difference between French, German, Italian, Spanish, Dutch, etc., put me in a room with a Chinese, Japanese, Korean, Vietnamese and a Thai speaker and I probably couldn't tell the difference. (If I saw it written I'd probably have somewhat more luck though.)  SJKNEWLINE_TOKENNEWLINE_TOKENVietnamese has more syllable-final consonants than Japanese, I think you can tell them apart that way, maybe. Is this right? - JuuitchanNEWLINE_TOKENNEWLINE_TOKENSomeone suggested: ``Heath Robinson`` and ``Rube Goldberg`` as a vocabulary difference.  It's certainly an interesting parallel, but I don't think it really belongs here.  They were both artists with their own style, and both are known on both sides of the pond although their use as descriptive adjectives is split as suggested.  At any rate, they can't quite be considered translations, because as an adjective, ``Rube Goldberg`` is more specific, describing an overly complex mechanical device or a complex series of interdependent actions; Heath Robinson, in contrast, is more surrealistic or fantasy-oriented.  LDCNEWLINE_TOKENNEWLINE_TOKENAs an American, I would like to say that to me a bum is a homeless person as much as the butt, a flat is an apartment, and rubbish certainly is trash. Granted, I agree that a fag is not a cigarette, and underground is not a subway. I may do some actual research, and come back and fiddle with that list. - Eean.NEWLINE_TOKENNEWLINE_TOKEN:I think Americans certainly understand the use of ``bum`` for ``butt``, ``rubbish`` for ``trash``, and (to a lesser degree) ``flat`` for ``apartment``.  But we don't use those terms much.  Point to a container for discarded things, and an American will say ``that's a trash can``; a Brit will say ``that's a rubbish bin``.  Americans are more likely to use ``rubbish`` in the sense of ``bullshit``. LDCNEWLINE_TOKENNEWLINE_TOKENI deleted the following pair: ``limited (Ltd)`` and ``incorporated``, since they actually mean different things. ``Incorporated`` means a corporation; ``limited`` means a limited liability corporation (you can also have unlimited liability corporations, and no liability corporations). British (and Australian also) Ltd is roughly equivalent to American LLC.  SJKNEWLINE_TOKENNEWLINE_TOKENI would say 'torch' was much more common than 'pocket lamp' which sounds quite old-fashioned. 'Flashlight' would be more easily recognised than the latter.NEWLINE_TOKENNEWLINE_TOKENYes, I'd call it a ``torch``, and it would probably be labeled as a ``flashlight`` in its manufacturer's packaging. IMO, 'torch' is colloquial British English  The AnomeNEWLINE_TOKENNEWLINE_TOKENOh, so ``flashlight`` is correct British usage? (My dictionary said [Am.] and the Oxford English Dictionary carried ``flashlight`` only in the meaning of photography.) Then I'll remove the entry again. AxelBoldtNEWLINE_TOKEN`	2002	True	article	random	train	FALSE
37330.0	`NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENI fixed the link; I also removed ``homeopathy`` as an exampleit's not anything like a legitimate protoscience, or even half-legit.  It's total pseudoscientific nonsense, and not taken seriously as many protosciences are.  I'm willing to tolerate a sympathetic and historical treatment of it on its own page, but pages about real science shouldn't be littered with frauds.  NEWLINE_TOKEN`	2002	True	article	random	train	FALSE
37346.0	`If they are ``indisputable`` then why does the NOAA dispute it? Note that the NOAA is the same source used by advocates of the CFC-ozone-UV-cancer connection. Is the NOAA trustworthy only when it supports an environmentalist position, and discreditable otherwise? Your comment  not mine  betrays a political agenda, and not a scientifically informed view. Ed Poor`	2002	True	article	random	train	FALSE
44377.0	`NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENThe concept of ``viral meme`` is not a mainstream academic concept, and only merits the briefest mention in an encyclopedia.  ``Meme`` is already treading on thin ground, but is at least well known enough to be semi-respectable.  ``Let's roll`` isn't a concept at allit's a phrase that has made the news recently, and it's the title of a song, both of which deserve to be covered.  ``Move zig`` is another phrase, probably meaning more or less the same thing, but it isn't worthy of inclusion here.  It isn't even a common enough idiom to be found in a dictionaryyou certainly wouldn't find it, say, in a New York Times used without reference to its source.  LDCNEWLINE_TOKEN`	2002	True	article	random	train	FALSE
66667.0	`just quick notes, since i don't have the time or background to write well on it...NEWLINE_TOKENNEWLINE_TOKENpurpose:  fund-raising vs control/social-engineering/behavior-modificationNEWLINE_TOKENNEWLINE_TOKENtypes: inheritance; custom/import/duty; reseller's; propertyNEWLINE_TOKENNEWLINE_TOKENrelated/see also: bonds; notesNEWLINE_TOKENNEWLINE_TOKENcapital gains taxNEWLINE_TOKENNEWLINE_TOKENpersonal property taxNEWLINE_TOKENNEWLINE_TOKENbusiness inventory tax (includes busines equipment)NEWLINE_TOKENNEWLINE_TOKENimport taxes vs farm subsidiesNEWLINE_TOKENNEWLINE_TOKENstamp dutyNEWLINE_TOKENNEWLINE_TOKENrevenue stampNEWLINE_TOKENNEWLINE_TOKENrevenue paperNEWLINE_TOKENNEWLINE_TOKENimputed interest/income tax (on zero coupon bonds)NEWLINE_TOKENNEWLINE_TOKENand just for humor, ``The Microsoft Tax``NEWLINE_TOKENNEWLINE_TOKEN     thanks  WPNEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENThe phrase 'It distorts economies because it punishes productive people for being productive' in relation to progressive taxation does rather assume that people who are more productive get paid more. This does not neccesarily hold true, even if production is defined as contribution to the creation of wealth. It is certainly not true if production is defined as the creation of value.NEWLINE_TOKENNEWLINE_TOKENIn addition, the adjectives distort and punish seem rather emotive. It can be argued that people paying higher rate taxes have a duty to contribute to the economy and nation more than others. (such as one-nation toryism)NEWLINE_TOKENNEWLINE_TOKENInterested to discuss - DdroarNEWLINE_TOKENNEWLINE_TOKEN>Other purposes might include redistribution NEWLINE_TOKEN>of income from the rich to the poor,NEWLINE_TOKENNEWLINE_TOKENIf the state appropriates money for the exact opposite purpose (enrichment of the rich at the expense of the poor), is it still tax money? - n8chzNEWLINE_TOKENNEWLINE_TOKEN... might include ... - think it´s not necessary.NEWLINE_TOKEN`	2002	True	article	random	train	FALSE
91460.0	`The actual idea behind time-out is to get the parent to cool-off. They are the real problem in a confrontation. It's rare that children need to ``cool off``.NEWLINE_TOKENNEWLINE_TOKENThe theory behind adult time-outs is that you deprive the child of your attention. Of course, in our electronic gadget society where children hardly ever see their parents anyways, that accomplishes nothing. So as a replacement for spending time with one's child and paying attention to them most of the time, someone invented the ``child time-out`` as a form of punishment instead. This is not an acceptable trade-off and that's why child time-outs are bad. They're still better than physical abuse of course.  Ark`	2002	True	article	random	train	FALSE
114890.0	`NEWLINE_TOKEN NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENGjalexei, you asked about whether there is an ``anti-editorializing`` policy here.  There is, and it's called wikipedia:neutral point of view.  It discusses at some length  the case of what we should do when writing about a subject which most of us find repugnant.  Whilst you're not likely to get too many defenders of FGM here, the need for the policy should be clearer for articles like abortion, for instance.NEWLINE_TOKENNEWLINE_TOKENIf something you write is edited and you're not sure why, please continue to question such edits on the talk page.  Sometimes, you'll learn more about wikipedia policy.  Sometimes, you'll find out that some other people working on here can get it flat-out wrong ) `	2002	True	user	random	train	FALSE
132491.0	`]NEWLINE_TOKENNEWLINE_TOKEN:: When I'm angry, I can't write from the NPOV. I've let articles I care deeply about languish for over a week at a time, until I could calm down enough to conform to wikipolicy. The more important the issue, and the more ``right`` I am, the fiercer my anger. Some issues require Olympian detachment to describe properly. My hat's off to anyone who can do it. (And where's Larry when you need him? ) `	2002	True	article	random	train	FALSE
